股名,股號,股價,漲跌,漲跌幅(%),買進,賣出,開盤,昨收,最高,最低,成交量(股),時間(CST),漲跌符號
道瓊工業指數,^DJI,"29,634.83",403.89,1.34%,"29,577.03","29,670.16","30,192.21","30,038.72","30,428.82","29,614.30",380.976M,10/15 05:13,v
S&P 500指數,^GSPC,"3,583.07",86.84,2.37%,"3,561.15","3,600.11","3,690.41","3,669.91","3,712.00","3,579.68",2.667B,10/15 05:13,v
NASDAQ指數,^IXIC,"10,321.39",327.76,3.08%,0.00,0.00,"10,742.80","10,649.15","10,766.69","10,308.81",3.538B,10/15 05:15,v
費城半導體指數,^SOX,"2,162.32",100.92,4.46%,0.00,0.00,"2,281.68","2,263.24","2,286.95","2,158.80",0,10/15 05:15,v
日經225指數,^N225,"27,090.76",853.34,3.25%,0.00,0.00,"26,599.32","26,237.42","27,180.16","26,595.35",0,10/14 14:15,^
香港恒生指數,^HSI,"16,587.69",198.58,1.21%,0.00,0.00,"16,671.68","16,389.11","17,028.68","16,535.37",0,10/14 16:08,^
上海綜合指數,000001.SS,"3,071.99",55.63,1.84%,0.00,0.00,"3,035.03","3,016.36","3,084.27","3,035.03",1.961B,10/14 15:00,^
上海A股指數,000002.SS,"3,219.29",58.35,1.85%,0.00,0.00,"3,180.53","3,160.94","3,232.15","3,180.53",1.926B,10/14 15:00,^
上海B股指數,000003.SS,295.03,2.93,1.00%,0.00,0.00,292.16,292.10,296.29,292.16,32.355M,10/14 15:00,^
深圳綜合指數,399001.SZ,"11,121.71",304.05,2.81%,0.00,0.00,"10,914.18","10,817.67","11,177.23","10,890.19",3.707B,10/14 16:29,^
深圳A股指數,399107.SZ,"2,075.87",52.42,2.59%,0.00,0.00,"2,038.96","2,023.45","2,084.88","2,037.42",356.608M,10/14 16:29,^
深圳B股指數,399108.SZ,"1,140.02",12.64,1.12%,0.00,0.00,"1,129.63","1,127.38","1,146.73","1,129.42",22.833M,10/14 16:29,^
韓國綜合指數,^KS11,"2,212.55",49.68,2.30%,0.00,0.00,"2,200.66","2,162.87","2,220.54","2,193.63","501,415",10/14 17:01,^
德國股市,^GDAXI,"12,437.81",82.23,0.67%,0.00,0.00,"12,549.02","12,355.58","12,676.42","12,395.99",0,10/14 23:54,^
英國股市,^FTSE,"6,858.79",8.52,0.12%,0.00,0.00,"6,850.27","6,850.27","6,976.30","6,850.27",0,10/14 23:35,^
法國股市,^FCHI,"5,931.92",52.73,0.90%,0.00,0.00,"5,965.80","5,879.19","6,044.75","5,921.15",0,10/15 00:05,^
印尼綜合指數,^JKSE,"6,814.53",66.10,0.96%,0.00,0.00,"6,880.67","6,880.62","6,943.85","6,814.53",0,10/14 16:01,v
印度孟買指數,^BSESN,"57,919.97",684.64,1.20%,0.00,0.00,"58,162.74","57,235.33","58,435.12","57,848.23",0,10/14 18:10,^
馬來西亞股市,^KLSE,"1,382.47",9.11,0.66%,0.00,0.00,"1,381.63","1,373.36","1,391.38","1,381.34",0,10/14 16:59,^
新加坡股市,^STI,"3,039.61",0.84,0.03%,0.00,0.00,"3,067.49","3,040.45","3,078.17","3,039.61",0,10/14 17:20,v
菲律賓股市,PSEI.PS,"5,904.75",9.11,0.15%,0.00,0.00,"5,954.96","5,895.64","5,967.69","5,904.75",0,10/14 14:50,^
俄羅斯股市,RTSI.ME,"1,144.79",12.30,1.09%,0.00,0.00,"1,131.44","1,132.49","1,149.75","1,129.36",0,07/08 23:51,^
